Employee ID,Name,Department,City,Employment Date,Salary,Gender,Age,Performance Score,Projects Completed,Overtime Hours
ea7300fe-a3ba-48b2-ba9a-ca06ff2e9cb8,Madhup Bose,Operations,Kolkata,2019-04-18,97150.06,Female,47,10,10,12
1537c8d4-1e06-4bd3-bfbc-73af3b6c53a0,Misha Viswanathan,IT,Pune,2014-09-11,49361.96,Female,31,9,15,11
b932d16d-2379-4803-9166-6af293aaa5d2,Samarth Ramanathan,IT,Kolkata,2019-02-06,67784.92,Male,60,5,12,35
88ebda75-82d2-4f7f-88a9-da38b05729d4,Kavya Sha,Operations,Pune,2020-07-16,60680.64,Male,47,3,5,2
c48598b9-fea7-4db2-9df3-22dd718c08b1,Onkar Buch,Sales,Chennai,2015-09-16,63304.78,Female,24,6,0,24
820383cd-3960-4f50-8c21-3e8c1d7d1fb9,Umang Vasa,HR,Chennai,2015-09-04,94943.64,Male,47,8,11,42
727af14a-55ca-4d1b-a6b8-66b080d7f366,Aarush Balan,HR,Chennai,2021-11-15,99915.21,Male,43,10,11,12
cda4b314-6b0b-478c-9731-738d0d3669b9,Indrans Balan,HR,Pune,2018-09-18,81083.42,Male,37,10,11,19
cd26a0c3-66fd-4d14-adad-31263334319a,Aaryahi Zachariah,Operations,Hyderabad,2016-02-16,37646.13,Female,25,2,20,44
98bd267f-621f-4b03-8527-c4a14ff8e8a0,Keya Dutt,IT,Kolkata,2018-06-08,34734.79,Female,52,4,9,24
f4600dae-fa9e-4e4c-88fc-3bfa8df41ea1,Keya Saran,Operations,Bangalore,2023-03-09,44166.89,Female,39,7,7,6
8865e9ad-2060-4068-8efa-77b7f74508ce,Akarsh Venkatesh,Operations,Bangalore,2019-07-08,85605.44,Female,45,7,16,40
bf3cf0a8-5320-4a91-96e5-4364f24f6cd7,Neysa Sibal,Marketing,Pune,2015-03-15,90657.18,Male,23,3,8,44
5344f71c-9387-42ad-a5b6-09b1967504f4,Pranay Gulati,IT,Delhi,2022-05-14,54489.26,Male,43,2,1,22
46afea23-84db-4201-ac77-5c06dd871d95,Myra Hari,Marketing,Pune,2014-12-27,89574.48,Male,41,1,20,31
f9ebfc60-8728-4868-9652-b25d633524e3,Farhan Ramachandran,Finance,Mumbai,2014-12-10,73709.55,Male,41,4,8,5
92db0816-4203-4d6e-bbf6-77f18ee80e15,Aaryahi Kade,IT,Bangalore,2024-02-02,69783.98,Female,39,9,12,40
90320e12-4a36-49ee-be6e-693e4338b1b3,Vanya Randhawa,IT,Chennai,2021-04-16,54585.02,Female,53,9,0,28
69c05b65-1218-4722-ba79-83573a9e7de4,Yasmin Amble,IT,Delhi,2017-09-05,97944.88,Female,28,7,17,47
82342f71-523e-4355-8a9e-150d8daa0344,Anya Divan,HR,Pune,2018-02-11,40243.58,Male,36,3,8,12
88e5696b-7ee7-432a-947c-0762a7c80838,Anahita Rattan,HR,Chennai,2020-06-15,68692.23,Male,30,10,7,8
89baa65b-84cd-46fa-a406-d873ea0cf148,Bhavin Bail,Marketing,Kolkata,2022-03-20,55492.18,Male,41,2,4,2
15ccdbe0-57a6-4c76-89d4-378b4083d947,Damini Luthra,Marketing,Kolkata,2016-06-16,91063.76,Male,50,3,10,12
c589fd47-b5d8-4a06-8a67-8c3b9d09714c,Dharmajan Chopra,IT,Hyderabad,2021-10-05,73796.95,Female,42,8,12,1
727ea4f8-eedc-4fee-a805-d2aae37f6649,Yasmin Krishnan,Marketing,Chennai,2023-03-17,90041.93,Female,39,10,4,46
36e23e4a-f91c-46bc-bf30-d6385cea76f6,Jiya Bahri,HR,Bangalore,2020-10-18,34087.56,Male,48,10,2,37
a31483e4-b0b0-40c0-95e4-b9d626b6a174,Dharmajan Sawhney,Operations,Mumbai,2014-11-24,65573.71,Male,60,1,12,15
384779d8-52af-4b63-ba43-42de4a216768,Hiran Maharaj,Operations,Chennai,2020-10-31,83939.25,Female,27,9,16,31
290ee21b-4b41-4210-8ea1-9825a4a716ac,Vivaan Chakraborty,Operations,Pune,2017-02-12,30691.84,Male,34,9,19,24
375a085e-7b51-4756-95cc-00a7f304c624,Kanav Devi,Marketing,Bangalore,2016-03-07,57127.74,Male,50,2,20,4
ab98c08e-45be-48a0-9a6d-55817dd98269,Advik Majumdar,Finance,Delhi,2016-01-27,49011.06,Female,35,2,7,50
11a2c4a0-79fb-4650-b2ef-b9cd19140ffa,Arhaan Buch,HR,Chennai,2020-03-08,42351.13,Male,48,8,13,34
0152bda7-7b3a-47a8-85f8-f36d1f604b8d,Sara Yadav,Finance,Delhi,2015-03-14,52996.76,Male,53,3,7,41
